Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary,,,,,,,,,
Increased_Cost_Estimate - Stephen Akuffo,US East (N. Virginia),Cloud formation to assist with scaling and ensuring infrastructure is configured correctly,AWS CloudFormation,0,272.85,3274.2,USD,"Number of third-party resources managed (100), Average duration per operation (30 seconds), Total number of operations per resource (100 per day)",,,,,,,,,
Increased_Cost_Estimate - Stephen Akuffo,US West (Oregon),Cloud formation to assist with scaling and ensuring infrastructure is configured correctly,AWS CloudFormation,0,272.85,3274.2,USD,"Number of third-party resources managed (100), Average duration per operation (30 seconds), Total number of operations per resource (100 per day)",,,,,,,,,
Increased_Cost_Estimate - Stephen Akuffo,US East (N. Virginia),KMS as more IaC is used,AWS Key Management Service,0,11,132,USD,"Number of customer managed Customer Master Keys (CMK) (5), Number of symmetric requests (2000000)",,,,,,,,,
Increased_Cost_Estimate - Stephen Akuffo,US West (Oregon),KMS as more IaC is used,AWS Key Management Service,0,11,132,USD,"Number of customer managed Customer Master Keys (CMK) (5), Number of symmetric requests (2000000)",,,,,,,,,
Increased_Cost_Estimate - Stephen Akuffo,US East (N. Virginia),SQS to assist with the uploading and posting on information to make sure they don't get lost,Amazon Simple Queue Service (SQS),0,18.41,220.92,USD,"DT Inbound: Internet (0 TB per month) 
, DT Outbound: Internet (200 GB per month) 
, Data transfer cost (17.91), Standard queue requests ( million per month), FIFO queue requests (1 million per month)",,,,,,,,,
Increased_Cost_Estimate - Stephen Akuffo,US West (Oregon),SQS to assist with the uploading and posting on information to make sure they don't get lost,Amazon Simple Queue Service (SQS),0,18.41,220.92,USD,"DT Inbound: Internet (0 TB per month) 
, DT Outbound: Internet (200 GB per month) 
, Data transfer cost (17.91), Standard queue requests ( million per month), FIFO queue requests (1 million per month)",,,,,,,,,
Increased_Cost_Estimate - Stephen Akuffo,US East (N. Virginia),"As more IaC is used, CloudTrail can follow and monitor API calls",AWS CloudTrail,0,2,24,USD,"Management events units (millions), Write management trails (1), Read management trails (1), Data events units (millions), S3 trails (1), Lambda trails (1), Insight events units (millions), Trails with Insight events (1), S3 operations (2 per month), Write management events (1 per month), Read management events (1 per month)",,,,,,,,,
Increased_Cost_Estimate - Stephen Akuffo,US West (Oregon),"As more IaC is used, CloudTrail can follow and monitor API calls",AWS CloudTrail,0,2,24,USD,"Management events units (millions), Write management trails (1), Read management trails (1), Data events units (millions), S3 trails (1), Lambda trails (1), Insight events units (millions), Trails with Insight events (1), S3 operations (2 per month), Write management events (1 per month), Read management events (1 per month)",,,,,,,,,
Increased_Cost_Estimate - Stephen Akuffo,US East (N. Virginia),WAF to protect the Web tier,AWS Web Application Firewall (WAF),0,100.6,1207.2,USD,"Number of Web Access Control Lists (Web ACLs) utilized (10 per month), Number of Rules added per Web ACL (50 per month), Number of Rule Groups per Web ACL ( per month), Number of Rules inside each Rule Group ( per month)",,,,,,,,,
Increased_Cost_Estimate - Stephen Akuffo,US West (Oregon),WAF to protect the Web tier,AWS Web Application Firewall (WAF),0,100.6,1207.2,USD,"Number of Web Access Control Lists (Web ACLs) utilized (10 per month), Number of Rules added per Web ACL (50 per month), Number of Rule Groups per Web ACL ( per month), Number of Rules inside each Rule Group ( per month)",,,,,,,,,
Increased_Cost_Estimate - Stephen Akuffo,US West (Oregon),AWS Systems Manager to pair with Cloud Formation/Cloud Watch/Cloud Trail for automation and monitoring,OpsCenter,0,658.97,7907.64,USD,"Frequency of OpsItems (operational work items) (300 per hour), Frequency of Get, Describe, Update, and GetOpsSummary API requests (300 per hour)",,,,,,,,,
Increased_Cost_Estimate - Stephen Akuffo,US West (Oregon),AWS Systems Manager to pair with Cloud Formation/Cloud Watch/Cloud Trail for automation and monitoring,AWS AppConfig,0,165.47,1985.64,USD,"Targets (50), Application configurations (10), Frequency of GetConfiguration API requests (10 per minute), Frequency of configurations received (10 per day)",,,,,,,,,
Increased_Cost_Estimate - Stephen Akuffo,US West (Oregon),AWS Systems Manager to pair with Cloud Formation/Cloud Watch/Cloud Trail for automation and monitoring,Automation,0,0,0,USD,"Average size of playbook attachments (100 MB), Frequency of steps ( per day), aws:executeScript steps ()",,,,,,,,,
Increased_Cost_Estimate - Stephen Akuffo,US East (N. Virginia),AWS Systems Manager to pair with Cloud Formation/Cloud Watch/Cloud Trail for automation and monitoring,OpsCenter,0,658.97,7907.64,USD,"Frequency of OpsItems (operational work items) (300 per hour), Frequency of Get, Describe, Update, and GetOpsSummary API requests (300 per hour)",,,,,,,,,
Increased_Cost_Estimate - Stephen Akuffo,US East (N. Virginia),AWS Systems Manager to pair with Cloud Formation/Cloud Watch/Cloud Trail for automation and monitoring,AWS AppConfig,0,165.47,1985.64,USD,"Targets (50), Application configurations (10), Frequency of GetConfiguration API requests (10 per minute), Frequency of configurations received (10 per day)",,,,,,,,,
Increased_Cost_Estimate - Stephen Akuffo,US East (N. Virginia),AWS Systems Manager to pair with Cloud Formation/Cloud Watch/Cloud Trail for automation and monitoring,Automation,0,0,0,USD,"Average size of playbook attachments (100 MB), Frequency of steps ( per day), aws:executeScript steps ()",,,,,,,,,
Global,All,Business support plan,AWS Support,5555.97,1553.23 First month including upfront and monthly fee 6549.43,23634.96,USD,"Supports 24/7 phone, chat, and email access to Cloud Support Engineers for unlimited contacts, with and a response time of less than 1 hour.",,,,,,,,,
,,,,,,,,,,,,,,,,,
Rationale for Changes,,,,,,,,,,,,,,,,,
"The Fundamental assumption here is that an increase to 20K a month the app either secured funding or the business is doing well. 
So all changes here are about ensuring that the infrastructure of the app is scalable and does not become a roadblock without necessarily having to rearchitect or re-code the app right now.  So there are a few themes.
A second VPC was introduced in a different region to protect against region failure. All layers of the app were duplicated (in the case of  EC2) or replicated (in the case of RDS with read replicas) to guard against this failure type. Moving to a different data architecture was considered but it would require some architecture on the app we were not prepared to do.
Further, the web tier was put into an autoscaling group. Since the initial configuration already and an elastic load balancer this was not an issue, this allows the app to scale to meet demand. 
The number of Elastic IPs and DNS zones were increased to provide resiliency for networking and load balancer connections as well as DNS services.

For performance  EBS volumes were changed on the RDS database to provisioned IOPs to ensure that it would have the best performance possible from the database. On top of that, Elasticcache was introduced to improve the performance of the front end. With both the database being faster and having cache front some of the requests (as many views and components of the web tier are read-only).
  Cloud front was fully introduced to improve performance close to the end-user. 

As this scaling starts to go up, managing it can be complex so rather than provisioning all of the resources by hand Cloud Formation was used to enable declarative state-based management of the app's infrastructure through Infrastructure as Code (IaC). Terraform was considered, however, to get the app done fast Cloud Formation was select. This does introduce some AWS dependency and will have to be re-examined at the next app re-factor.

AWS Systems manager was introduced to make sure the app did not require by hand configuration on all EC2 instances by hand, further along, the IaC path.
SQS was introduced to help with file uploads to improve the user experience while ensuring minimal failures from the internet to the app.
WAFs were introduced to increase the security resilience of the Web tier. KMS was introduced to better improve key management

Everything was done with the intention of setting the groundwork for a robust application that would not have to introduce too many changes as it scaled.

",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Acknowledgement,,,,,,,,,,,,,,,,,
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services.",,,,,,,,,,,,,,,,,
